Español	Shipibo-Konibo
Mitos sobre el coronavirus	Nato isin pikoketian jaskaakin jonibaon shinankana
El 6 de marzo del 2020 se confirmó el primer caso de coronavirus en el Perú. Sin embargo, es importante mantener la calma y consultar a las fuentes oficiales.	Nete 6 marzo oxen 2020 baritianra aka iki westiora jonipari yatankin nato coronavirus isiman non Perukan. Ikaxbi noa raketi yamake jaskara kopira non salud koshibo non yokata iti jake.
Existen diversos mitos que han sido rechazados por la Organización Mundial de Salud (OMS). Entre estos están:	Jaronkiake mesko akin onsaa akin yoikanabo jonibaon ikon aka Organización Mundial de Saludkan (OMS) ikon ayamakanwe akin noa akai. Jaabo riki natobo:
¿Me recomiendan usar mascarilla para evitar que me contagie?	¿Eaki yoikanai mascarilla saweti en isin binaketian?
En este caso, la Ministra de Salud, Elizabeth Hinostroza indicó que estas solo deben ser utilizadas por personas contagiadas por la enfermedad y por personal de salud. No es necesario, por ahora, que la ciudadanía en general use las mascarillas.	Ministra de Salud Elizabeth Hinostroza ninra yoiyai, natoronki ati sawekin, moa isiman yatanabaon itan noa raonaibaon. Jaskara kopira, non saweti yamake isinkin, jonibora raketi yamake saweyamai.
¿Toda persona que llegue del extranjero es un potencial contagiado?	¿Ochokea jemameax beai jonibaonki noa bimati atipana?
Solo se recomienda asesoría médica si has estado en zonas de alto contagio en los últimos 14 días.	Jaweratoboki coronavirus isinyabo xaran ipachoai 14 nete kaman jaabora iti jake oinmeeti.
¿El virus puede viajar grandes distancias a través del aire?	¿Virus isinmein kati atipanke niwen boa jawerano inonbires ocho?
No, el virus se propaga principalmente por las partículas de saliva o mucosidad que se genera cuando una persona contagiada tose o estornuda. Se considera que estas partículas solo llegan hasta 1 metro de distancia de la persona que las emite. También puedes contagiarte si te tocas los ojos, nariz y boca después de estar en contacto con una superficie contaminada.	Jaskarama riki, virus isinra nokotai joni jatishan ikainko iamax keyon toshba akainko. Yoirakanai nato isinronki non biti atipanke, joni ochomashoko itinxon, jaskara kopironki noa iti jake, westiora mitoro isinai joni ocho. Minronki isinki biti atipanke, kesoikixon, resoikixon, besoikixon, meken keras ixon iamax riki keras ikainkobo jaweki tii axon
¿Puedo ser contagiado por mi mascota?	¿Eaki nokon yoinaton isin bimati atipana?
Hasta el momento, no hay casos registrados de gatos o perros que hayan sido infectados o propaguen el virus causante de la enfermedad. Tampoco se ha detectado que este virus pueda transmitirse por picaduras de mosquitos.	Ramakamanbira tsoabi yoinabaon isin bimaa yamake, iti atipanke ochitibo, mishobo nato isin beaibo, ikaxbira neskarama iki. Bikanribira noa isin bimayamai.
¿El contacto con heces de una persona infectada puede contagiarme del coronavirus?	¿Isinai joninki ea isin bimati atipana jawen poin?
Sí, pero según las investigaciones de los expertos el riesgo es muy bajo. De todas maneras, se recomienda lavarse las manos con frecuencia, después de ir al baño y antes de comer.	Isinai jonin poi meixonra, en nato coronavirus isin biamai. Ikaxbi noa mechokiti jake onpax jabonyaton, jatibitian, mia poi ka pekao mechokiwe, itan piamatianribi
¿La orina infantil, la cocaína, el ajo, el cigarro, remedios de hierba o la vacuna contra la neumonía son útiles contra el coronavirus?	¿Baken jison xeamati, cocaína, ajos, rome, non raobo, itan bonxan iti raoboki jakon iki noa jan raonmeeti coronavirus isiman iki?
No, no existe medicina oficial contra el coronavirus y el automedicarte puede ser contraproducente para tu salud.	Yama, yamarake ramakamanbi noa jan raonmeeti rao nato isimana jaskara kopira, minbixbi mesko rao meskoaxra mia mawati atipanke.
¿Me puedo contagiar por mis pedidos enviados desde China?	¿Chinamea raobo ea bemakanaki ea jan isin bimati atipana?
No, según la Organización Mundial de Salud (OMS), es muy poco probable que una persona contamine productos comerciales; además, el virus que provoca la enfermedad no sobrevive mucho tiempo en paquetes.	Ikama, Organización Mundial de Salud (OMS), natonra noa ninkamai, non isin biamai, noa bemakana paketenin, isinronki basima mawatai, bari xanan aka, basi nete winoti.
